実行日時: 2023-12-10 17:18:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検索条件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計単位: 商品別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計期間: 全期間で集計 2023-12-01 - 2023-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
■■■■■商品・キーワードCPCを設定される際にはここから上は行ごと削除してください■■■■■,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コントロールカラム,日付,商品ページURL,商品管理番号,入札単価,CTR(%),商品CPC,クリック数(合計),実績額(合計),CPC実績(合計),クリック数(新規),実績額(新規),CPC実績(新規),クリック数(既存),実績額(既存),CPC実績(既存),売上金額(合計12時間),売上件数(合計12時間),CVR(合計12時間)(%),ROAS(合計12時間)(%),注文獲得単価(合計12時間),売上金額(合計720時間),売上件数(合計720時間),CVR(合計720時間)(%),ROAS(合計720時間)(%),注文獲得単価(合計720時間),売上金額(新規12時間),売上件数(新規12時間),CVR(新規12時間)(%),ROAS(新規12時間)(%),注文獲得単価(新規12時間),売上金額(新規720時間),売上件数(新規720時間),CVR(新規720時間)(%),ROAS(新規720時間)(%),注文獲得単価(新規720時間),売上金額(既存12時間),売上件数(既存12時間),CVR(既存12時間)(%),ROAS(既存12時間)(%),注文獲得単価(既存12時間),売上金額(既存720時間),売上件数(既存720時間),CVR(既存720時間)(%),ROAS(既存720時間)(%),注文獲得単価(既存720時間)
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/r-sg-01/,r-sg-01,27,0.14,,198,5346,27,144,3888,27,54,1458,27,39630,5,2.52,741.3,1070,67110,7,3.53,1255.33,764,25890,3,2.08,665.89,1296,25890,3,2.08,665.89,1296,13740,2,3.7,942.38,729,41220,4,7.4,2827.16,365
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/ne_ha_01/,ne_ha_01,65,0.34,,414,52354,127,370,48426,131,44,3928,90,104940,29,7,200.44,1806,132660,35,8.45,253.39,1496,75240,23,6.21,155.37,2106,95040,27,7.29,196.25,1794,29700,6,13.63,756.1,655,37620,8,18.18,957.73,491
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lo_smo_03/,lo_smo_03,25,0.2,,80,2000,25,59,1475,25,21,525,25,18900,4,5,945,500,22880,5,6.25,1144,400,3980,1,1.69,269.83,1475,3980,1,1.69,269.83,1475,14920,3,14.28,2841.9,175,18900,4,19.04,3600,132
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lo_smo_0103/,lo_smo_0103,25,0.17,,77,1955,26,73,1855,26,4,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lo_smo_01/,lo_smo_01,40,0.12,,349,14564,42,307,12884,42,42,1680,40,66220,13,3.72,454.68,1121,82156,17,4.87,564.1,857,39800,9,2.93,308.91,1432,51740,12,3.9,401.58,1074,26420,4,9.52,1572.61,420,30416,5,11.9,1810.47,336
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lo_rst_1103_bottle/,lo_rst_1103_bottle,25,0.2,,36,900,25,26,650,25,10,250,25,6990,1,2.77,776.66,900,12408,2,5.55,1378.66,450,0,0,0,0,0,0,0,0,0,0,6990,1,10,2796,250,12408,2,20,4963.2,125
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lo_rst_1102_bottle/,lo_rst_1102_bottle,25,0.21,,37,925,25,22,550,25,15,375,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lo_rsssmo_01/,lo_rsssmo_01,10,0.29,,158,1670,11,147,1500,11,11,170,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lo_rss_14/,lo_rss_14,10,0.08,,10,100,10,10,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lo_rss_1202/,lo_rss_1202,15,0.17,,40,600,15,38,570,15,2,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lo_rss_03/,lo_rss_03,30,0.09,,543,16605,31,509,15495,31,34,1110,33,71312,17,3.13,429.46,977,97780,21,3.86,588.85,791,40760,10,1.96,263.05,1550,55240,11,2.16,356.5,1409,30552,7,20.58,2752.43,159,42540,10,29.41,3832.43,111
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lo_rss_0203/,lo_rss_0203,15,0.1,,162,2675,17,148,2255,16,14,420,30,27960,2,1.23,1045.23,1338,73896,4,2.46,2762.46,669,0,0,0,0,0,0,0,0,0,0,27960,2,14.28,6657.14,210,73896,4,28.57,17594.28,105
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lo_rss_0202/,lo_rss_0202,10,0.38,,100,1000,10,95,950,10,5,50,10,3630,1,1,363,1000,3630,1,1,363,1000,3630,1,1.05,382.1,950,3630,1,1.05,382.1,950,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lo_rss_02/,lo_rss_02,10,0.03,,113,1130,10,103,1030,10,10,100,10,4660,1,0.88,412.38,1130,4660,1,0.88,412.38,1130,0,0,0,0,0,0,0,0,0,0,4660,1,10,4660,100,4660,1,10,4660,100
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/ln_sukkiribura_01/,ln_sukkiribura_01,40,5.02,,173,8408,49,168,8147,49,5,261,53,8940,3,1.73,106.32,2803,11920,4,2.31,141.76,2102,8940,3,1.78,109.73,2716,11920,4,2.38,146.31,2037,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lk_refttynightbra_01/,lk_refttynightbra_01,10,10.03,,30,460,16,27,350,13,3,110,37,3938,1,3.33,856.08,460,75854,4,13.33,16490,115,3938,1,3.7,1125.14,350,3938,1,3.7,1125.14,350,0,0,0,0,0,71916,3,100,65378.18,37
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lk_noabra_shortsset_03/,lk_noabra_shortsset_03,10,1.94,,2,20,10,2,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lk_noabra_shortsset_01/,lk_noabra_shortsset_01,10,4.08,,10,310,31,10,310,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lk_noabra_03/,lk_noabra_03,10,1.12,,1,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lk_noabra_01/,lk_noabra_01,15,7.42,,63,2313,37,62,2298,38,1,15,15,0,0,0,0,0,2948,1,1.58,127.45,2313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2948,1,100,19653.33,15
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lk_nightcare_set/,lk_nightcare_set,10,1.96,,4,40,10,4,40,10,0,0,0,3938,1,25,9845,40,3938,1,25,9845,40,3938,1,25,9845,40,3938,1,25,9845,40,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lk_kutsurogi-ikunyucami_02/,lk_kutsurogi-ikunyucami_02,10,4.67,,5,50,10,4,40,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lk_kutsurogi-ikunyucami_01/,lk_kutsurogi-ikunyucami_01,40,2.19,,72,6900,96,65,6620,102,7,280,40,36217,5,6.94,524.88,1380,50797,8,11.11,736.18,863,13328,3,4.61,201.32,2207,23048,5,7.69,348.15,1324,22889,2,28.57,8174.64,140,27749,3,42.85,9910.35,94
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lk_kutsurogi-ikunyubra_color_03/,lk_kutsurogi-ikunyubra_color_03,10,9.59,,68,680,10,58,580,10,10,100,10,19690,4,5.88,2895.58,170,32426,7,10.29,4768.52,98,19690,4,6.89,3394.82,145,32426,7,12.06,5590.68,83,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lk_kutsurogi-ikunyubra_03/,lk_kutsurogi-ikunyubra_03,50,4.73,,85,4300,51,74,3750,51,11,550,50,41349,4,4.7,961.6,1075,61039,6,7.05,1419.51,717,23628,2,2.7,630.08,1875,43318,4,5.4,1155.14,938,17721,2,18.18,3222,275,17721,2,18.18,3222,275
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lk_kutsurogi-ikunyubra_01/,lk_kutsurogi-ikunyubra_01,20,4.84,,494,55960,114,465,52700,114,29,3260,113,191418,38,7.69,342.06,1473,232882,46,9.31,416.15,1217,170806,35,7.52,324.11,1506,212270,43,9.24,402.78,1226,20612,3,10.34,632.26,1087,20612,3,10.34,632.26,1087
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lk_chakuatsu-leggings_01/,lk_chakuatsu-leggings_01,80,3.06,,161,15410,96,157,14950,96,4,460,115,19920,4,2.48,129.26,3853,24900,5,3.1,161.58,3082,19920,4,2.54,133.24,3738,24900,5,3.18,166.55,2990,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lk_cbc_03/,lk_cbc_03,15,0.02,,2,30,15,2,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lk_camishortsset_03/,lk_camishortsset_03,30,0.94,,3,90,30,3,90,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lk_brashortsset_03/,lk_brashortsset_03,10,2.67,,10,700,70,8,560,70,2,140,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/lk_brashortsset_01/,lk_brashortsset_01,10,2.57,,13,774,60,13,774,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/l-vc-01/,l-vc-01,15,0.13,,66,990,15,58,870,15,8,120,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/l-rt-01/,l-rt-01,20,0.24,,140,4080,30,126,3800,31,14,280,20,23840,4,2.85,584.31,1020,26820,5,3.57,657.35,816,23840,4,3.17,627.36,950,26820,5,3.96,705.78,760,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/l-hqsg-01/,l-hqsg-01,41,0.12,,53,2173,41,50,2050,41,3,123,41,8970,1,1.88,412.79,2173,8970,1,1.88,412.79,2173,8970,1,2,437.56,2050,8970,1,2,437.56,2050,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/l-hqrt-01/,l-hqrt-01,25,0.25,,105,2685,26,95,2435,26,10,250,25,2990,1,0.95,111.35,2685,5980,2,1.9,222.71,1343,2990,1,1.05,122.79,2435,5980,2,2.1,245.58,1218,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/l-hq-01/,l-hq-01,42,0.4,,893,76852,87,812,69616,86,81,7236,90,209290,43,4.81,272.32,1788,252740,52,5.82,328.86,1478,182390,38,4.67,261.99,1832,201920,43,5.29,290.04,1619,26900,5,6.17,371.75,1448,50820,9,11.11,702.32,804
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/koloha/10000296/,10000296,35,0.21,,80,3631,46,74,3286,45,6,345,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/magina-online-shop/swb-01/,swb-01,50,1.8,,34,1760,52,33,1710,52,1,50,50,55720,10,29.41,3165.9,176,59700,11,32.35,3392.04,160,55720,10,30.3,3258.47,171,59700,11,33.33,3491.22,156,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/magina-online-shop/macavelas01/,macavelas01,41,0.15,,110,4510,41,78,3198,41,32,1312,41,26820,6,5.45,594.67,752,74500,10,9.09,1651.88,451,11920,4,5.12,372.73,800,29800,6,7.69,931.83,533,14900,2,6.25,1135.67,656,44700,4,12.5,3407.01,328
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/magina-online-shop/ma-rg-pb-01/,ma-rg-pb-01,25,0.59,,415,16943,41,375,14971,40,40,1972,50,50660,17,4.09,299,997,98380,23,5.54,580.65,737,41720,14,3.73,278.67,1070,69540,18,4.8,464.49,832,8940,3,7.5,453.34,658,28840,5,12.5,1462.47,395
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/magina-online-shop/argima01/,argima01,20,0.03,,275,5500,20,231,4620,20,44,880,20,2980,1,0.36,54.18,5500,35760,4,1.45,650.18,1375,2980,1,0.43,64.5,4620,32780,3,1.29,709.52,1540,0,0,0,0,0,2980,1,2.27,338.63,880
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/magina-online-shop/10000010/,10000010,25,0.09,,12,300,25,2,50,25,10,250,25,14900,1,8.33,4966.66,300,44700,2,16.66,14900,150,14900,1,50,29800,50,14900,1,50,29800,50,0,0,0,0,0,29800,1,10,11920,250
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/magina-online-shop/10000002/,10000002,41,0.13,,65,2665,41,41,1681,41,24,984,41,19600,3,4.61,735.45,889,19600,3,4.61,735.45,889,0,0,0,0,0,0,0,0,0,0,19600,3,12.5,1991.86,328,19600,3,12.5,1991.86,328
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/magina-online-shop/10000000-re/,10000000-re,25,0.18,,8,200,25,8,200,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/magina-online-shop/10000000/,10000000,80,0.13,,1087,144381,133,934,128315,138,153,16066,106,178260,26,2.39,123.46,5554,208060,30,2.75,144.1,4813,83170,15,1.6,64.81,8555,86150,16,1.71,67.13,8020,95090,11,7.18,591.87,1461,121910,14,9.15,758.8,1148
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/volstar-online-shop/volstarbeyondblast_03/,volstarbeyondblast_03,25,0.22,,33,825,25,32,800,25,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/volstar-online-shop/volstarbeyondblast_02/,volstarbeyondblast_02,25,0.32,,30,750,25,28,700,25,2,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/volstar-online-shop/volstarbeyondblast_01/,volstarbeyondblast_01,25,0.38,,58,1600,28,52,1330,26,6,270,45,53400,3,5.17,3337.5,534,60380,4,6.89,3773.75,400,13800,1,1.92,1037.59,1330,20780,2,3.84,1562.4,665,39600,2,33.33,14666.66,135,39600,2,33.33,14666.66,135
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/volstar-online-shop/volstarbeyond_03/,volstarbeyond_03,25,0.5,,69,1725,25,64,1600,25,5,125,25,18480,1,1.44,1071.3,1725,36960,2,2.89,2142.6,863,0,0,0,0,0,0,0,0,0,0,18480,1,20,14784,125,36960,2,40,29568,63
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/volstar-online-shop/volstarbeyond_02/,volstarbeyond_02,25,0.33,,18,450,25,16,400,25,2,50,25,0,0,0,0,0,12720,1,5.55,2826.66,450,0,0,0,0,0,12720,1,6.25,3180,400,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/volstar-online-shop/volstarbeyond_01/,volstarbeyond_01,25,0.38,,63,1600,26,63,1600,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/volstar-online-shop/et_ra_01/,et_ra_01,20,0.17,,2573,57299,23,2482,54837,23,91,2462,28,86420,17,0.66,150.82,3371,119200,24,0.93,208.03,2388,47680,11,0.44,86.94,4986,71520,16,0.64,130.42,3428,38740,6,6.59,1573.51,411,47680,8,8.79,1936.63,308
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/volstar-online-shop/er_ra_01/,er_ra_01,35,0.21,,138,6335,46,134,5970,45,4,365,92,17880,3,2.17,282.24,2112,17880,3,2.17,282.24,2112,17880,3,2.23,299.49,1990,17880,3,2.23,299.49,1990,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/volstar-online-shop/eh_ra_01/,eh_ra_01,15,0.05,,1208,18190,16,1153,17330,16,55,860,16,14900,4,0.33,81.91,4548,23840,5,0.41,131.06,3638,14900,4,0.34,85.97,4333,14900,4,0.34,85.97,4333,0,0,0,0,0,8940,1,1.81,1039.53,860
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/volstar-online-shop/ed_ra_05/,ed_ra_05,25,0.24,,190,4750,25,184,4600,25,6,150,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/volstar-online-shop/ed_ra_03/,ed_ra_03,25,0.39,,601,15025,25,574,14350,25,27,675,25,26820,3,0.49,178.5,5009,29800,4,0.66,198.33,3757,0,0,0,0,0,0,0,0,0,0,26820,3,11.11,3973.33,225,29800,4,14.81,4414.81,169
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/volstar-online-shop/ed_ra_02/,ed_ra_02,25,0.56,,264,6600,25,258,6450,25,6,150,25,14900,2,0.75,225.75,3300,23840,3,1.13,361.21,2200,5960,1,0.38,92.4,6450,5960,1,0.38,92.4,6450,8940,1,16.66,5960,150,17880,2,33.33,11920,75
,2023年12月01日～2023年12月09日,https://item.rakuten.co.jp/volstar-online-shop/ed_ra_01/,ed_ra_01,35,0.39,,1117,58259,53,1053,53934,52,64,4325,68,181780,32,2.86,312.02,1821,208600,38,3.4,358.05,1534,110260,20,1.89,204.43,2697,131120,25,2.37,243.11,2158,71520,12,18.75,1653.64,361,77480,13,20.31,1791.44,333
