商品コード,商品名,繰越残数,入荷数量,出荷数量,在庫残数,在庫単価,在庫金額
1100291,ウルトラ BCAA ザ・ブースト マスカット風味　500g,3646,0,1148,2498,2209.4,5519081
1100292,ウルトラ BCAA ザ・ブースト ブラッドオレンジ風味　500g,737,0,349,388,2229.2,864929
1100293,ウルトラ BCAA ザ・ブースト ピーチ風味　500g,4,2960,72,2892,2161.8,6251925
1100294,ウルトラ BCAA ザ・ブースト マンゴー風味　500g,13,2940,64,2889,2161.5,6244573
1100295,ウルトラ EAA ジ・アクセル ソルティッドライチ風味　500g,2241,0,1132,1109,2189.8,2428488
1100296,ウルトラ EAA ジ・アクセル アセロラ風味　500g,2518,0,910,1608,2167.1,3484696
1100297,ウルトラ EAA ジ・アクセル アップルサワー風味　500ｇ,1596,0,341,1255,2257.4,2833037
1100298,ウルトラ ザ・ラクトファイバー ヨーグルト風味　240ｇ,565,0,0,565,667,376855
1100299,ウルトラ ザ・ラクトファイバー パイナップル風味　240ｇ,150,0,0,150,648,97200
1100300,ウルトラ スーププロテイン クラムチャウダー風味 25g（7袋セット）,0,0,0,0,0,0
1100301,ウルトラ VITAMIN HACK （マルチビタミンミネラル）,0,0,0,0,1227,0
1100302,ウルトラ シェイカー 500ml（ブラック）,150,5089,5239,0,177.8,0
1100303,ウルトラ シェイカー 800ml（ブラック）,3,0,0,3,428,1284
1100304,ウルトラ スリムサーモステンレスボトル（ホワイト） 300ml,866,0,22,844,1050,886200
1100305,ウルトラ スリムサーモステンレスボトル（ホワイト） 450ml,92,0,22,70,1200,84000
1100306,ウルトラ スリムサーモステンレスボトル（ブラック） 500ml,0,0,0,0,939,0
1100307,ウルトラ トレーニングマット（ブラック）,0,0,0,0,701,0
1100308,ウルトラ トレーニングマット（ピンク）,0,0,0,0,701,0
1100309,ウルトラ フォームローラー（ブラック）,0,0,0,0,480,0
1100310,ウルトラ フォームローラー（ピンク）,0,0,0,0,480,0
1100311,ウルトラ エクササイズバンド（ブラック）,2023,0,18,2005,568.4,1139642
1100312,ウルトラ エクササイズバンド（ピンク）,2331,0,25,2306,542.3,1250543
1100313,ウルトラ トレーニングチューブ THE POWER,2311,0,15,2296,1743,4001928
1100317,ウルトラ ホエイダイエットプロテイン トライアル チョコレート風味　30ｇ,18635,0,811,17824,90.84,1619132
1100318,ウルトラ ホエイダイエットプロテイン トライアル 抹茶ラテ風味　30ｇ,18647,0,811,17836,94.6,1687285
1100319,ウルトラ ホエイダイエットプロテイン トライアル クリアストロベリー風味　30ｇ,18621,0,711,17910,93.78,1679599
1100320,ウルトラ ホエイダイエットプロテイン トライアル ココナッツチョコレート風味　30ｇ,33016,0,681,32335,81.8,2645003
1100321,ウルトラ ホエイダイエットプロテイン トライアル フルーツオレ風味　30ｇ,34097,0,681,33416,79.78,2665928
1100322,ウルトラ ホエイダイエットプロテイン トライアル ほうじ茶ラテ風味　30ｇ,19739,0,681,19058,118.55,2259325
1100323,ウルトラ ホエイダイエットプロテイン トライアル 紫芋風味　30ｇ,18138,0,681,17457,117.18,2045611
1100324,ウルトラ スローダイエットプロテイン トライアル 黒ゴマきなこ風味30ｇ,21136,0,673,20463,84.89,1737104
1100325,ウルトラ スローダイエットプロテイン トライアル カフェラテ風味　30ｇ,24882,0,569,24313,79.78,1939691
1100326,ウルトラ スローダイエットプロテイン トライアル ブルーベリー風味　30ｇ,25522,0,543,24979,83.76,2092241
1100331,ウルトラ STARTER BOX①（ホエイプロテイン 7フレーバーセット）,118,137,255,0,1004.6,0
1100332,ウルトラ STARTER BOX②（ホエイプロテイン+スロープロテイン 10フレーバーセット）,0,443,443,0,1318.8,0
1100602,ウルトラ スーププロテイン クラムチャウダー風味 25g,0,0,0,0,0,0
1100609,ウルトラ ホエイダイエットプロテイン 抹茶ラテ風味 一包（19.5g）,0,0,0,0,0,0
1100610,ウルトラ スローダイエットプロテイン 黒ゴマきなこ風味 一包（21.4g）,0,0,0,0,0,0
1101057,ルルクシェル chewybreastcream,0,0,0,0,,0
1101133,ウルトラ シェイカー 500ml ふた 加工前,27780,0,7089,20691,46.2,955924
1101134,ウルトラ シェイカー 500ml 本体 加工前,27922,0,7089,20833,131.7,2743706
1101289,ウルトラ シェイカー 300ml ピンク,0,4722,1870,2852,206,587512
1101290,ウルトラ シェイカー 300ml パープル,0,5000,2170,2830,206,582980
1101291,ウルトラ シェイカー 300ml グレー,0,4573,2430,2143,206,441458
1101365,ウルトラ BCAA ジ・ブースト（500g） マンゴー,0,0,0,0,0,0
1101396,ウルトラ ウルトラ ホエイダイエットプロテイン 1000g キャラメルナッツ風味,716,16461,2847,14330,2634.6,37753818
1101397,ウルトラ ウルトラ ホエイダイエットプロテイン 450g キャラメルナッツ風味,150,7200,84,7266,1328.5,9652881
1101398,ウルトラ ウルトラ ホエイダイエットプロテイン 30g キャラメルナッツ風味,671,0,0,671,66.46,44594
1101403,ウルトラ スローダイエットプロテイン 1000g あずきミルク風味,8,0,1,7,1863.8,13046
1101404,ウルトラ スローダイエットプロテイン 1000g クリアヨーグルト風味,13,0,1,12,2150.6,25807
1101415,ウルトラ BCAA ザ・ブースト（トライアル） マスカット,0,0,0,0,,0
1101416,ウルトラ BCAA ザ・ブースト（トライアル） ブラッドオレンジ,0,0,0,0,,0
1101417,ウルトラ BCAA ザ・ブースト（トライアル） レモン,0,0,0,0,,0
1101418,ウルトラ BCAA ザ・ブースト（トライアル） ピーチ,0,0,0,0,,0
1101419,ウルトラ BCAA ザ・ブースト（トライアル） マンゴー,0,0,0,0,,0
1101422,ウルトラ シェイカー 800ml ふた 加工前,482,0,0,482,153,73746
1101423,ウルトラ シェイカー 800ml 本体 加工前,81,0,0,81,28,2268
1101424,ウルトラ シェイカー 800ml リング 加工前,152,0,0,152,171,25992
1101425,ウルトラ スターターBOX　箱,0,580,580,0,206,0
1101785,ウルトラ ソイプロテイン（20g）   バナナ,0,10220,130,10090,66.87,674718
1101786,ウルトラ ソイプロテイン（20g）   杏仁,0,10460,100,10360,67.96,704065
1101787,ウルトラ ソイプロテイン（20g）   ココア,0,10400,130,10270,71.97,739131
1102415,ウルトラ ソイダイエットプロテイン 500g  モンブラン風味,0,0,0,0,,0
1102416,ウルトラ ソイダイエットプロテイン 500g  ミルクティー風味,0,0,0,0,,0
1102423,ウルトラ ODD型シェイカー,0,0,0,0,,0
1102426,ウルトラ スーププロテイン 420g  クラムチャウダー風味,0,0,0,0,,0
1102429,ウルトラ スーププロテイン 420g  コーンポタージュ風味,0,0,0,0,,0
1102436,ウルトラ ホエイダイエットプロテイン（450g)   チャイティーラテ,0,0,0,0,,0
1102437,ウルトラ ホエイダイエットプロテイン（450g)   ティラミス,0,0,0,0,,0
1102438,ウルトラ ホエイダイエットプロテイン（450g)   カスタードプリン,0,0,0,0,,0
1102482,ウルトラ シェイカー 500ml （ホワイト）  新ロゴ202311,0,0,0,0,,0
1102483,ウルトラ シェイカー 500ml （ブラック）  新ロゴ202311,0,0,0,0,,0
1300515,ウルトラ シェイカー 500ml　品質表示ラベル,0,0,0,0,,0
1300516,ウルトラ シェイカー 800ml　品質表示ラベル,0,0,0,0,,0
1301374,ウルトラ VITAMIN HACK （マルチビタミンミネラル）　ボトル,0,0,0,0,,0
1301375,ウルトラ VITAMIN HACK （マルチビタミンミネラル）　キャップ,0,0,0,0,,0
1301388,【本体】ウルトラ トレーニングマット（ブラック）,0,0,0,0,,0
1301389,【本体】ウルトラ トレーニングマット（ピンク）,0,0,0,0,600,0
1301489,ウルトラ シェイカー 300ml ピンク  （本体）,0,0,0,0,87,0
1301490,ウルトラ シェイカー 300ml パープル  （本体）,0,0,0,0,87,0
1301491,ウルトラ シェイカー 300ml グレー  （本体）,0,0,0,0,87,0
1301492,ウルトラ シェイカー 300ml ピンク  （キャップ）,0,0,0,0,66,0
1301493,ウルトラ シェイカー 300ml パープル  （キャップ）,0,0,0,0,66,0
1301494,ウルトラ シェイカー 300ml グレー  （キャップ）,0,0,0,0,66,0
1302478,ウルトラ シェイカー 500ml （ホワイト）フタ  新ロゴ202311,0,0,0,0,,0
1302479,ウルトラ シェイカー 500ml （ブラック）フタ  新ロゴ202311,0,0,0,0,,0
1302480,ウルトラ シェイカー 500ml （ホワイトロゴ）ボディ  新ロゴ202311,0,0,0,0,,0
1302481,ウルトラ シェイカー 500ml （ブラックロゴ）ボディ  新ロゴ202311,0,0,0,0,,0
2000512,【バルク】ウルトラ スーププロテイン（クラムチャウダー）バラ,0,0,0,0,77,0
2001329,【バルク】ウルトラ ホエイダイエットプロテイン（30g） ストロベリー,0,0,0,0,87,0
2001330,【バルク】ウルトラ ホエイダイエットプロテイン（30g） 抹茶ラテ,0,0,0,0,88,0
2001331,【バルク】ウルトラ ホエイダイエットプロテイン（30g） チョコ,0,0,0,0,84,0
2001332,【バルク】ウルトラ ホエイダイエットプロテイン（30g） フルーツオレ,0,0,0,0,85,0
2001333,【バルク】ウルトラ ホエイダイエットプロテイン（30g） ココナッツ,0,0,0,0,84,0
2001334,【バルク】ウルトラ ホエイダイエットプロテイン（30g） 紫芋,0,0,0,0,110,0
2001335,【バルク】ウルトラ ホエイダイエットプロテイン（30g） ほうじ茶,0,0,0,0,110,0
2001336,【バルク】ウルトラ ホエイダイエットプロテイン（30g） 黒ゴマきなこ,0,0,0,0,82.9,0
2001337,【バルク】ウルトラ ホエイダイエットプロテイン（30g） ブルーベリー,0,0,0,0,82,0
2001338,【バルク】ウルトラ ホエイダイエットプロテイン（30g） カフェラテ,0,0,0,0,76,0
2001339,【バルク】ウルトラ ホエイダイエットプロテイン（1kg) ストロベリー,0,9673,9673,0,2196,0
2001340,【バルク】ウルトラ ホエイダイエットプロテイン（1kg) 抹茶ラテ,0,34550,34550,0,2191,0
2001341,【バルク】ウルトラ ホエイダイエットプロテイン（1kg) チョコ,0,14840,14840,0,2293,0
2001342,【バルク】ウルトラ ホエイダイエットプロテイン（1kg) フルーツオレ,0,8000,8000,0,2038,0
2001343,【バルク】ウルトラ ホエイダイエットプロテイン（1kg) ココナッツ,0,8000,8000,0,2004,0
2001344,【バルク】ウルトラ ホエイダイエットプロテイン（1kg) 紫芋,0,0,0,0,2325,0
2001345,【バルク】ウルトラ ホエイダイエットプロテイン（1kg) ほうじ茶,0,0,0,0,2325,0
2001346,【バルク】ウルトラ スローダイエットプロテイン（1kg） 黒ゴマきなこ,0,4950,4950,0,1998,0
2001347,【バルク】ウルトラ スローダイエットプロテイン（1kg） ブルーベリー,0,4930,4930,0,2033,0
2001348,【バルク】ウルトラ スローダイエットプロテイン（1kg） カフェラテ,0,21440,21440,0,1817,0
2001349,【バルク】ウルトラ ホエイダイエットプロテイン（450g) ストロベリー,0,7120,7120,0,1079,0
2001350,【バルク】ウルトラ ホエイダイエットプロテイン（450g) 抹茶ラテ,0,21120,21120,0,1081,0
2001351,【バルク】ウルトラ ホエイダイエットプロテイン（450g) チョコ,0,17920,17920,0,1031,0
2001352,【バルク】ウルトラ ホエイダイエットプロテイン（450g) フルーツオレ,0,1600,1600,0,1010,0
2001353,【バルク】ウルトラ ホエイダイエットプロテイン（450g) ココナッツ,0,0,0,0,1006,0
2001354,【バルク】ウルトラ ソイプロテイン（500g） バナナ,0,5000,5000,0,1230,0
2001355,【バルク】ウルトラ ソイプロテイン（500g） 杏仁,0,0,0,0,1275,0
2001356,【バルク】ウルトラ ソイプロテイン（500g） ココア,0,560,560,0,1355,0
2001357,【バルク】ウルトラ BCAA ザ・ブースト（500g） マスカット,0,0,0,0,2159,0
2001358,【バルク】ウルトラ BCAA ザ・ブースト（500g） ブラッドオレンジ,0,0,0,0,2179,0
2001359,【バルク】ウルトラ BCAA ザ・ブースト（500g） レモン,0,0,0,0,1990,0
2001360,【バルク】ウルトラ BCAA ザ・ブースト（500g） ピーチ,0,2960,2960,0,2109,0
2001361,【バルク】ウルトラ EAA ジ・アクセル（500g） アセロラ,0,0,0,0,2109,0
2001362,【バルク】ウルトラ EAA ジ・アクセル（500g） ライチ,0,0,0,0,2129,0
2001363,【バルク】ウルトラ EAA ジ・アクセル（500g） アップルサワー,0,0,0,0,2199,0
2001366,【バルク】ウルトラ BCAA ジ・ブースト（500g） マンゴー,0,2940,2940,0,2109,0
2001368,【バルク】ウルトラ ザ・ラクトファイバー ヨーグルト風味,0,0,0,0,,0
2001369,【バルク】ウルトラ ザ・ラクトファイバー パイナップル風味,0,0,0,0,,0
2001377,【バルク】ウルトラ VITAMIN HACK （マルチビタミンミネラル）,0,0,0,0,1227,0
2001380,【バルク】ウルトラ ホエイダイエットプロテイン（450g) 紫芋,0,0,0,0,1210,0
2001381,【バルク】ウルトラ ホエイダイエットプロテイン（450g) ほうじ茶,0,0,0,0,1210,0
2001393,【バルク】ウルトラ ホエイダイエットプロテイン（1kg)   キャラメルナッツ,0,16461,16461,0,2561,0
2001394,【バルク】ウルトラ ホエイダイエットプロテイン（450g)   キャラメルナッツ,0,7200,7200,0,1260,0
2001395,【バルク】ウルトラ ホエイダイエットプロテイン（30g）   キャラメルナッツ,0,0,0,0,66,0
2001401,【バルク】ウルトラ スローダイエットプロテイン（1kg)   あずきミルク風味,0,0,0,0,2420,0
2001402,【バルク】ウルトラ スローダイエットプロテイン（1kg)   クリアヨーグルト風味,0,0,0,0,2428,0
2001410,【バルク】ウルトラ BCAA ザ・ブースト（トライアル） マスカット,0,0,0,0,,0
2001411,【バルク】ウルトラ BCAA ザ・ブースト（トライアル） ブラッドオレンジ,0,0,0,0,,0
2001412,【バルク】ウルトラ BCAA ザ・ブースト（トライアル） レモン,0,0,0,0,,0
2001413,【バルク】ウルトラ BCAA ザ・ブースト（トライアル） ピーチ,0,0,0,0,,0
2001414,【バルク】ウルトラ BCAA ザ・ブースト（トライアル） マンゴー,0,0,0,0,,0
2002417,【バルク】ウルトラ ソイプロテイン（20g）   バナナ,0,10220,10220,0,0,0
2002418,【バルク】ウルトラ ソイプロテイン（20g）   ココア,0,10400,10400,0,59.9,0
2002419,【バルク】ウルトラ ソイプロテイン（20g）   杏仁,0,10460,10460,0,55.9,0
2002425,【バルク】ウルトラ スーププロテイン 420g  クラムチャウダー風味,0,0,0,0,,0
2002428,【バルク】ウルトラ スーププロテイン 420g  コーンポタージュ風味,0,0,0,0,,0
2002430,【バルク】ウルトラ ソイダイエットプロテイン 500g  モンブラン風味,0,0,0,0,,0
2002431,【バルク】ウルトラ ソイダイエットプロテイン 500g  ミルクティー風味,0,0,0,0,,0
2002439,【バルク】ウルトラ ホエイダイエットプロテイン（450g)   チャイティーラテ,0,0,0,0,,0
2002440,【バルク】ウルトラ ホエイダイエットプロテイン（450g)   ティラミス,0,0,0,0,,0
2002441,【バルク】ウルトラ ホエイダイエットプロテイン（450g)   カスタードプリン,0,0,0,0,,0
2101292,【パウチ】ウルトラ ホエイダイエットプロテイン（コンビニ用） 抹茶ラテ,0,0,0,0,,0
2101293,【パウチ】ウルトラ ホエイダイエットプロテイン（コンビニ用） 黒ゴマきなこ,0,0,0,0,,0
2101294,【パウチ】ウルトラ ホエイダイエットプロテイン（30g3面） ストロベリー,15854.6,0,0,15854.6,,123811
2101295,【パウチ】ウルトラ ホエイダイエットプロテイン（30g3面） 抹茶ラテ,16734,0,0,16734,,58749
2101296,【パウチ】ウルトラ ホエイダイエットプロテイン（30g3面） チョコ,16744,0,0,16744,,131008
2101297,【パウチ】ウルトラ ホエイダイエットプロテイン（30g3面） フルーツオレ,17924,0,0,17924,,158600
2101298,【パウチ】ウルトラ ホエイダイエットプロテイン（30g3面） ココナッツ,16754,0,0,16754,,148200
2101299,【パウチ】ウルトラ ホエイダイエットプロテイン（30g3面） 紫芋,22445,0,0,22445,,205412
2101300,【パウチ】ウルトラ ホエイダイエットプロテイン（30g3面） ほうじ茶,20672,0,0,20672,,189314
2101301,【パウチ】ウルトラ スローダイエットプロテイン（30g3面） 黒ゴマきなこ,28508,0,0,28508,,247253
2101302,【パウチ】ウルトラ スローダイエットプロテイン（30g3面） ブルーベリー,28508,0,0,28508,,247299
2101303,【パウチ】ウルトラ スローダイエットプロテイン（30g3面） カフェラテ,27618,-3122.28,0,24495.72,,216684
2101304,【パウチ】ウルトラ ホエイダイエットプロテイン（1kg) ストロベリー,21775,0,9673,12102,60.9,737011
2101305,【パウチ】ウルトラ ホエイダイエットプロテイン（1kg) 抹茶ラテ,94797,0,34550,60247,60.7,3656992
2101306,【パウチ】ウルトラ ホエイダイエットプロテイン（1kg) チョコ,47553,0,14840,32713,59.3,1939880
2101307,【パウチ】ウルトラ ホエイダイエットプロテイン（1kg) フルーツオレ,24562,0,8000,16562,66.9,1107997
2101308,【パウチ】ウルトラ ホエイダイエットプロテイン（1kg) ココナッツ,35818,0,8000,27818,60,1669080
2101309,【パウチ】ウルトラ ホエイダイエットプロテイン（1kg) 紫芋,14044,0,0,14044,67.8,952183
2101310,【パウチ】ウルトラ ホエイダイエットプロテイン（1kg) ほうじ茶,17999,0,0,17999,63.9,1150136
2101311,【パウチ】ウルトラ スローダイエットプロテイン（1kg） 黒ゴマきなこ,30906,0,4950,25956,59.1,1533999
2101312,【パウチ】ウルトラ スローダイエットプロテイン（1kg） ブルーベリー,39817,0,4930,34887,62.7,2187414
2101313,【パウチ】ウルトラ スローダイエットプロテイン（1kg） カフェラテ,47100,0,21440,25660,60,1539600
2101314,【パウチ】ウルトラ ホエイダイエットプロテイン（450g) ストロベリー,19054,0,7120,11934,57.8,689785
2101315,【パウチ】ウルトラ ホエイダイエットプロテイン（450g) 抹茶ラテ,98371,0,21120,77251,57,4403307
2101316,【パウチ】ウルトラ ホエイダイエットプロテイン（450g) チョコ,73189,0,17920,55269,56.7,3133752
2101317,【パウチ】ウルトラ ホエイダイエットプロテイン（450g) フルーツオレ,27768,0,1600,26168,60.3,1577930
2101318,【パウチ】ウルトラ ホエイダイエットプロテイン（450g) ココナッツ,26309,0,0,26309,60.2,1583801
2101319,【パウチ】ウルトラ ソイプロテイン（500g） バナナ,19341,0,5000,14341,60.1,861894
2101320,【パウチ】ウルトラ ソイプロテイン（500g） 杏仁,25922,0,0,25922,59.9,1552727
2101321,【パウチ】ウルトラ ソイプロテイン（500g） ココア,13677,0,560,13117,59.8,784396
2101322,【パウチ】ウルトラ BCAA ザ・ブースト（500g） マスカット,1787,0,0,1787,53,94711
2101323,【パウチ】ウルトラ BCAA ザ・ブースト（500g） ブラッドオレンジ,8812,0,0,8812,53,467036
2101324,【パウチ】ウルトラ BCAA ザ・ブースト（500g） レモン,1036,0,0,1036,53,54908
2101325,【パウチ】ウルトラ BCAA ザ・ブースト（500g） ピーチ,11706,0,2960,8746,53,463538
2101326,【パウチ】ウルトラ EAA ジ・アクセル（500g） アセロラ,15739,0,0,15739,61,960079
2101327,【パウチ】ウルトラ EAA ジ・アクセル（500g） ライチ,5482,0,0,5482,61,334402
2101328,【パウチ】ウルトラ EAA ジ・アクセル（500g） アップルサワー,4972,0,0,4972,63,313236
2101367,【パウチ】ウルトラ BCAA ジ・ブースト（500g） マンゴー,13886,0,2940,10946,53,580138
2101370,【パウチ】ウルトラ ザ・ラクトファイバー ヨーグルト風味,1318,0,0,1318,71,93578
2101371,【パウチ】ウルトラ ザ・ラクトファイバー パイナップル風味,3348,0,0,3348,68,227664
2101372,【パウチ】ウルトラ スーププロテイン（クラムチャウダー）バラ,2352,0,0,2352,8,18816
2101384,【パウチ】ウルトラ ホエイダイエットプロテイン（450g) 紫芋,25172,0,0,25172,60.9,1532974
2101385,【パウチ】ウルトラ ホエイダイエットプロテイン（450g) ほうじ茶,26912,0,0,26912,60.2,1620102
2101390,【パウチ】ウルトラ ホエイダイエットプロテイン（1kg)   キャラメルナッツ,18532,0,16461,2071,71.8,148697
2101391,【パウチ】ウルトラ ホエイダイエットプロテイン（450g)   キャラメルナッツ,36005,0,7200,28805,68.1,1961620
2101392,【パウチ】ウルトラ ホエイダイエットプロテイン（30g）   キャラメルナッツ,10584,0,0,10584,,127800
2101399,【パウチ】ウルトラ スローダイエットプロテイン（1kg)   あずきミルク風味,1464,32200,0,33664,67.4,2268953
2101400,【パウチ】ウルトラ スローダイエットプロテイン（1kg)   クリアヨーグルト風味,1650,30700,0,32350,67.5,2183625
2101405,【パウチ】ウルトラ BCAA ザ・ブースト（トライアル） マスカット,0,0,0,0,,0
2101406,【パウチ】ウルトラ BCAA ザ・ブースト（トライアル） ブラッドオレンジ,0,0,0,0,,0
2101407,【パウチ】ウルトラ BCAA ザ・ブースト（トライアル） レモン,0,0,0,0,,0
2101408,【パウチ】ウルトラ BCAA ザ・ブースト（トライアル） ピーチ,0,0,0,0,,0
2101409,【パウチ】ウルトラ BCAA ザ・ブースト（トライアル） マンゴー,0,0,0,0,,0
2102345,【パウチ】ウルトラ ソイプロテイン（20g）   バナナ,10584,0,10220,364,,4402
2102346,【パウチ】ウルトラ ソイプロテイン（20g）   杏仁,10584,0,10460,124,,1562
2102347,【パウチ】ウルトラ ソイプロテイン（20g）   ココア,10584,0,10400,184,,2272
2102420,【パウチ】ウルトラ ソイダイエットプロテイン 500g  モンブラン風味,0,6025,0,6025,79,475975
2102421,【パウチ】ウルトラ ソイダイエットプロテイン 500g  ミルクティー風味,0,5425,0,5425,79,428575
2102424,【パウチ】ウルトラ スーププロテイン 420g  クラムチャウダー風味,0,0,0,0,,0
2102427,【パウチ】ウルトラ スーププロテイン 420g  コーンポタージュ風味,0,0,0,0,,0
2102442,【パウチ】ウルトラ ホエイダイエットプロテイン（450g)   チャイティーラテ,0,0,0,0,,0
2102443,【パウチ】ウルトラ ホエイダイエットプロテイン（450g)   ティラミス,0,0,0,0,,0
2102444,【パウチ】ウルトラ ホエイダイエットプロテイン（450g)   カスタードプリン,0,0,0,0,,0
2200314,ウルトラ トレーニングマット 袋,1044,0,0,1044,101,105444
2200508,ウルトラ スーププロテイン用箱,0,0,0,0,55,0
2301136,ウルトラ スターターボックスミ　加工前,11088,0,580,10508,51.6,542212
2301137,ウルトラ スターターボックス蓋　加工前,11088,0,580,10508,51.6,542212
2301138,ウルトラ スターターボックス仕切り1 加工前,11088,0,580,10508,51.7,543263
2301139,ウルトラ スターターボックス仕切り2 加工前,11088,0,580,10508,51.6,542212
2302354,ウルトラ シェイカー 300ml ピンク  （ラベル）,0,0,0,0,,0
2302355,ウルトラ シェイカー 300ml パープル  （ラベル）,0,0,0,0,,0
2302356,ウルトラ シェイカー 300ml グレー  （ラベル）,0,0,0,0,,0
3000329,ウルトラ オリジナルトートバック,0,0,0,0,,0
3000330,ウルトラ オリジナルマグカップ,0,0,0,0,,0
3100315,ウルトラ エクササイズバンド取扱説明書,0,0,0,0,20,0
3100316,ウルトラ トレーニングチューブ取扱説明書,0,0,0,0,,0
,,1793148.6,532459.72,627103,1698505.32,,798850543
