実行日時: 2023-12-12 10:07:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検索条件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計単位: 商品別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計期間: 全期間で集計 2023-12-01 - 2023-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
■■■■■商品・キーワードCPCを設定される際にはここから上は行ごと削除してください■■■■■,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コントロールカラム,日付,商品ページURL,商品管理番号,入札単価,CTR(%),商品CPC,クリック数(合計),実績額(合計),CPC実績(合計),クリック数(新規),実績額(新規),CPC実績(新規),クリック数(既存),実績額(既存),CPC実績(既存),売上金額(合計12時間),売上件数(合計12時間),CVR(合計12時間)(%),ROAS(合計12時間)(%),注文獲得単価(合計12時間),売上金額(合計720時間),売上件数(合計720時間),CVR(合計720時間)(%),ROAS(合計720時間)(%),注文獲得単価(合計720時間),売上金額(新規12時間),売上件数(新規12時間),CVR(新規12時間)(%),ROAS(新規12時間)(%),注文獲得単価(新規12時間),売上金額(新規720時間),売上件数(新規720時間),CVR(新規720時間)(%),ROAS(新規720時間)(%),注文獲得単価(新規720時間),売上金額(既存12時間),売上件数(既存12時間),CVR(既存12時間)(%),ROAS(既存12時間)(%),注文獲得単価(既存12時間),売上金額(既存720時間),売上件数(既存720時間),CVR(既存720時間)(%),ROAS(既存720時間)(%),注文獲得単価(既存720時間)
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lo_rss_0202/,lo_rss_0202,10,0.37,,126,1260,10,120,1200,10,6,60,10,3630,1,0.79,288.09,1260,3630,1,0.79,288.09,1260,3630,1,0.83,302.5,1200,3630,1,0.83,302.5,1200,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lo_rss_02/,lo_rss_02,10,0.03,,140,1400,10,125,1250,10,15,150,10,27566,5,3.57,1969,280,32226,6,4.28,2301.85,234,7626,2,1.6,610.08,625,7626,2,1.6,610.08,625,19940,3,20,13293.33,50,24600,4,26.66,16400,38
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/ln_sukkiribura_01/,ln_sukkiribura_01,40,5.03,,211,10287,49,206,10026,49,5,261,53,11920,4,1.89,115.87,2572,14900,5,2.36,144.84,2058,11920,4,1.94,118.89,2507,14900,5,2.42,148.61,2006,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lk_refttynightbra_01/,lk_refttynightbra_01,10,10.29,,39,550,15,36,440,13,3,110,37,14762,2,5.12,2684,275,98492,8,20.51,17907.63,69,14762,2,5.55,3355,220,14762,2,5.55,3355,220,0,0,0,0,0,83730,6,200,76118.18,19
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lk_noabra_shortsset_03/,lk_noabra_shortsset_03,10,3.27,,4,40,10,2,20,10,2,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lk_noabra_shortsset_01/,lk_noabra_shortsset_01,10,3.76,,12,390,33,12,390,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lk_noabra_03/,lk_noabra_03,10,1.49,,2,20,10,2,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lk_noabra_01/,lk_noabra_01,15,7.18,,80,3036,38,79,3021,39,1,15,15,0,0,0,0,0,5896,2,2.5,194.2,1518,0,0,0,0,0,2948,1,1.26,97.58,3021,0,0,0,0,0,2948,1,100,19653.33,15
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lk_nightcare_set/,lk_nightcare_set,10,1.63,,4,40,10,4,40,10,0,0,0,3938,1,25,9845,40,3938,1,25,9845,40,3938,1,25,9845,40,3938,1,25,9845,40,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lk_kutsurogi-ikunyucami_02/,lk_kutsurogi-ikunyucami_02,10,4.38,,5,50,10,4,40,10,1,10,10,0,0,0,0,0,9170,1,20,18340,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9170,1,100,91700,10
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lk_kutsurogi-ikunyucami_01/,lk_kutsurogi-ikunyucami_01,40,2.47,,101,10020,100,91,9620,106,10,400,40,73997,11,10.89,738.49,911,93437,15,14.85,932.5,668,32218,6,6.59,334.9,1604,46798,9,9.89,486.46,1069,41779,5,50,10444.75,80,46639,6,60,11659.75,67
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lk_kutsurogi-ikunyubra_color_03/,lk_kutsurogi-ikunyubra_color_03,10,9.92,,90,900,10,76,760,10,14,140,10,29535,6,6.66,3281.66,150,67610,11,12.22,7512.22,82,25597,5,6.57,3368.02,152,63672,10,13.15,8377.89,76,3938,1,7.14,2812.85,140,3938,1,7.14,2812.85,140
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lk_kutsurogi-ikunyubra_03/,lk_kutsurogi-ikunyubra_03,50,4.78,,109,5500,51,97,4900,51,12,600,50,49225,5,4.58,895,1100,80729,9,8.25,1467.8,612,31504,3,3.09,642.93,1634,55132,6,6.18,1125.14,817,17721,2,16.66,2953.5,300,25597,3,25,4266.16,200
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lk_kutsurogi-ikunyubra_01/,lk_kutsurogi-ikunyubra_01,20,4.76,,702,108900,156,655,102770,157,47,6130,131,285930,59,8.4,262.56,1846,342816,71,10.11,314.79,1534,241690,51,7.78,235.17,2016,298576,63,9.61,290.52,1632,44240,8,17.02,721.69,767,44240,8,17.02,721.69,767
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lk_chakuatsu-leggings_01/,lk_chakuatsu-leggings_01,80,3.27,,205,19670,96,199,19050,96,6,620,104,39840,7,3.41,202.54,2810,44820,8,3.9,227.85,2459,39840,7,3.51,209.13,2722,44820,8,4.02,235.27,2382,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lk_cbc_03/,lk_cbc_03,15,0.02,,2,30,15,2,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lk_camishortsset_03/,lk_camishortsset_03,30,1.31,,5,150,30,5,150,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lk_camishortsset_02/,lk_camishortsset_02,10,3.5,,2,20,10,2,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lk_brashortsset_03/,lk_brashortsset_03,10,2.76,,13,970,75,11,830,76,2,140,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/lk_brashortsset_01/,lk_brashortsset_01,10,2.44,,15,1116,75,15,1116,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/l-vc-01/,l-vc-01,15,0.13,,87,1305,15,77,1155,15,10,150,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/l-rt-01/,l-rt-01,20,0.25,,187,6060,33,167,5500,33,20,560,28,26820,5,2.67,442.57,1212,44730,8,4.27,738.11,758,26820,5,2.99,487.63,1100,35760,7,4.19,650.18,786,0,0,0,0,0,8970,1,5,1601.78,560
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/l-hqsg-01/,l-hqsg-01,41,0.12,,74,3034,41,70,2870,41,4,164,41,11960,2,2.7,394.19,1517,11960,2,2.7,394.19,1517,11960,2,2.85,416.72,1435,11960,2,2.85,416.72,1435,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/l-hqrt-01/,l-hqrt-01,25,0.23,,135,3675,28,122,3350,28,13,325,25,13540,2,1.48,368.43,1838,25470,4,2.96,693.06,919,13540,2,1.63,404.17,1675,16530,3,2.45,493.43,1117,0,0,0,0,0,8940,1,7.69,2750.76,325
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/l-hq-01/,l-hq-01,42,0.41,,1178,104292,89,1072,94742,89,106,9550,91,322910,63,5.34,309.62,1656,384300,76,6.45,368.48,1373,260120,55,5.13,274.55,1723,297590,64,5.97,314.1,1481,62790,8,7.54,657.48,1194,86710,12,11.32,907.95,796
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/koloha/10000296/,10000296,35,0.22,,102,4796,48,95,4371,47,7,425,61,15752,2,1.96,328.44,2398,15752,2,1.96,328.44,2398,15752,2,2.1,360.37,2186,15752,2,2.1,360.37,2186,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/magina-online-shop/swb-01/,swb-01,50,1.88,,105,6030,58,100,5780,58,5,250,50,127360,27,25.71,2112.1,224,139300,30,28.57,2310.11,201,123380,26,26,2134.6,223,135320,29,29,2341.17,200,3980,1,20,1592,250,3980,1,20,1592,250
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/magina-online-shop/macavelas01/,macavelas01,41,0.15,,137,5617,41,95,3895,41,42,1722,41,40730,8,5.83,725.12,703,94100,13,9.48,1675.27,433,11920,4,4.21,306.03,974,29800,6,6.31,765.08,650,28810,4,9.52,1673.05,431,64300,7,16.66,3734.03,246
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/magina-online-shop/ma-rg-pb-01/,ma-rg-pb-01,25,0.59,,527,21577,41,476,19072,41,51,2505,50,50660,17,3.22,234.78,1270,146140,27,5.12,677.29,800,41720,14,2.94,218.75,1363,81480,20,4.2,427.22,954,8940,3,5.88,356.88,835,64660,7,13.72,2581.23,358
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/magina-online-shop/argima01/,argima01,20,0.03,,333,6660,20,281,5620,20,52,1040,20,2980,1,0.3,44.74,6660,47680,6,1.8,715.91,1110,2980,1,0.35,53.02,5620,35760,4,1.42,636.29,1405,0,0,0,0,0,11920,2,3.84,1146.15,520
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/magina-online-shop/10000010/,10000010,25,0.09,,15,375,25,5,125,25,10,250,25,14900,1,6.66,3973.33,375,44700,2,13.33,11920,188,14900,1,20,11920,125,14900,1,20,11920,125,0,0,0,0,0,29800,1,10,11920,250
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/magina-online-shop/10000002/,10000002,41,0.14,,89,3649,41,51,2091,41,38,1558,41,43440,5,5.61,1190.46,730,43440,5,5.61,1190.46,730,0,0,0,0,0,0,0,0,0,0,43440,5,13.15,2788.18,312,43440,5,13.15,2788.18,312
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/magina-online-shop/10000000-re/,10000000-re,25,0.16,,9,225,25,9,225,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/magina-online-shop/10000000/,10000000,80,0.14,,1421,192763,136,1227,171693,140,194,21070,109,258720,37,2.6,134.21,5210,302420,45,3.16,156.88,4284,127870,20,1.62,74.47,8585,133830,22,1.79,77.94,7805,130850,17,8.76,621.02,1240,168590,23,11.85,800.14,917
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/volstar-online-shop/volstarbeyondblast_03/,volstarbeyondblast_03,25,0.23,,43,1075,25,42,1050,25,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/volstar-online-shop/volstarbeyondblast_02/,volstarbeyondblast_02,25,0.26,,31,775,25,29,725,25,2,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/volstar-online-shop/volstarbeyondblast_01/,volstarbeyondblast_01,25,0.39,,75,2055,28,69,1785,26,6,270,45,53400,3,4,2598.54,685,60380,4,5.33,2938.19,514,13800,1,1.44,773.1,1785,20780,2,2.89,1164.14,893,39600,2,33.33,14666.66,135,39600,2,33.33,14666.66,135
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/volstar-online-shop/volstarbeyond_03/,volstarbeyond_03,25,0.46,,77,1925,25,72,1800,25,5,125,25,18480,1,1.29,960,1925,36960,2,2.59,1920,963,0,0,0,0,0,0,0,0,0,0,18480,1,20,14784,125,36960,2,40,29568,63
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/volstar-online-shop/volstarbeyond_02/,volstarbeyond_02,25,0.34,,23,575,25,21,525,25,2,50,25,0,0,0,0,0,12720,1,4.34,2212.17,575,0,0,0,0,0,12720,1,4.76,2422.85,525,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/volstar-online-shop/volstarbeyond_01/,volstarbeyond_01,25,0.38,,76,1950,26,75,1925,26,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/volstar-online-shop/et_ra_01/,et_ra_01,20,0.18,,3433,75396,22,3327,72634,22,106,2762,27,110260,22,0.64,146.24,3428,166880,33,0.96,221.33,2285,71520,16,0.48,98.46,4540,113240,24,0.72,155.9,3027,38740,6,5.66,1402.6,461,53640,9,8.49,1942.07,307
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/volstar-online-shop/er_ra_01/,er_ra_01,35,0.22,,171,7787,46,166,7387,45,5,400,80,26820,4,2.33,344.42,1947,29800,5,2.92,382.68,1558,26820,4,2.4,363.07,1847,29800,5,3.01,403.41,1478,0,0,0,0,0,0,0,0,0,0
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/volstar-online-shop/eh_ra_01/,eh_ra_01,10,0.05,,1524,22315,15,1464,21385,15,60,930,16,26820,6,0.39,120.18,3720,41720,8,0.52,186.95,2790,20860,5,0.34,97.54,4277,26820,6,0.4,125.41,3565,5960,1,1.66,640.86,930,14900,2,3.33,1602.15,465
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/volstar-online-shop/ed_ra_05/,ed_ra_05,25,0.23,,235,5875,25,228,5700,25,7,175,25,8940,1,0.42,152.17,5875,17880,2,0.85,304.34,2938,0,0,0,0,0,0,0,0,0,0,8940,1,14.28,5108.57,175,17880,2,28.57,10217.14,88
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/volstar-online-shop/ed_ra_03/,ed_ra_03,25,0.4,,728,18200,25,694,17350,25,34,850,25,44700,5,0.68,245.6,3640,56620,7,0.96,311.09,2600,8940,1,0.14,51.52,17350,8940,1,0.14,51.52,17350,35760,4,11.76,4207.05,213,47680,6,17.64,5609.41,142
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/volstar-online-shop/ed_ra_02/,ed_ra_02,25,0.56,,325,8125,25,317,7925,25,8,200,25,26820,4,1.23,330.09,2032,35760,5,1.53,440.12,1625,11920,2,0.63,150.41,3963,11920,2,0.63,150.41,3963,14900,2,25,7450,100,23840,3,37.5,11920,67
,2023年12月01日～2023年12月11日,https://item.rakuten.co.jp/volstar-online-shop/ed_ra_01/,ed_ra_01,35,0.4,,1383,72180,53,1299,66198,51,84,5982,72,247340,45,3.25,342.67,1604,286080,53,3.83,396.34,1362,146020,29,2.23,220.58,2283,172840,35,2.69,261.09,1892,101320,16,19.04,1693.74,374,113240,18,21.42,1893.01,333
